candidate_id,area,crop_path,image_id,captured_at,year,lat,lon,compass_angle,is_pano,creator_username,source_url,license,n_panels_detected,height_native,n_views,ocr_status,ocr_text,ocr_conf
hollywood/1513603382318430_0,hollywood,crops/hollywood/1513603382318430_0.jpg,1513603382318430,2021-08-11T19:59:36.533000+00:00,2021,34.102888981003,-118.33865834331,358.69304440195,False,etunell,https://www.mapillary.com/app/?pKey=1513603382318430,CC BY-SA 4.0,3,1150,1,parking,NOSTOPPING | ANY TIME | DO IPOACE,0.854
hollywood/888723225404950_0,hollywood,crops/hollywood/888723225404950_0.jpg,888723225404950,2021-08-11T17:56:07.608000+00:00,2021,34.100456923895,-118.33501051357,358.84552847895,False,etunell,https://www.mapillary.com/app/?pKey=888723225404950,CC BY-SA 4.0,4,967,1,parking,SCHOOL | SPEED | LIMIT | 15 | WHEN | CHILDREN | ARE PRESENT | 2 | PARKING | HHOUR | 8AM | 8PM | 19 | 8AM | IIAM | 8PM | TO,0.922
hollywood/526113698754851_0,hollywood,crops/hollywood/526113698754851_0.jpg,526113698754851,2021-05-06T19:52:46.075000+00:00,2021,34.101667741659,-118.32745985751,268.85830084653,False,etunell,https://www.mapillary.com/app/?pKey=526113698754851,CC BY-SA 4.0,3,841,1,parking,MOTE YOUR SPACE | NUMBER AT CURB | PAY AT | PAY STATION | 3AM | T06AM | 2 | PARKING | HOUR | 8AM | 8PM | 10 | MIDNIGHT | 8AM | 10 | 11AM | 8PM | TOW-AWAY | TEMPORARY | NOPARKING | ANY TIME | FRIDAY ONLY,0.946
hollywood/154703776643732_0,hollywood,crops/hollywood/154703776643732_0.jpg,154703776643732,2021-05-06T19:52:51.475000+00:00,2021,34.101663167114,-118.32785994395,0.0,False,etunell,https://www.mapillary.com/app/?pKey=154703776643732,CC BY-SA 4.0,2,755,1,parking,Parking | DO NOT | BLOCK | INTERSECTION | Ivar | AN | 1700 N,0.924
hollywood/617225442566940_0,hollywood,crops/hollywood/617225442566940_0.jpg,617225442566940,2019-08-21T18:41:16.467000+00:00,2019,34.102345706756,-118.3446674085,345.12590704532,False,gyllen,https://www.mapillary.com/app/?pKey=617225442566940,CC BY-SA 4.0,3,752,1,parking,12NOON3PM | MONDAY | STREETSWEEPING | HOUR | PARKING | 8AM | MON-THUR | 8AM | FRI & SAT | 11AM | SUONINY | IO | IO | 8PM | IO | 8PM | MIDNIGHT,0.908
hollywood/118944170313120_0,hollywood,crops/hollywood/118944170313120_0.jpg,118944170313120,2021-05-06T19:31:59.557000+00:00,2021,34.101562668539,-118.32989221198,0.0,False,etunell,https://www.mapillary.com/app/?pKey=118944170313120,CC BY-SA 4.0,2,722,1,parking,品 | RAYMOND | CHANDLER | SQUARE | HOLLYWO | Parking | Cahuenns,0.925
hollywood/4028726423888305_0,hollywood,crops/hollywood/4028726423888305_0.jpg,4028726423888305,2021-05-06T21:48:34.907000+00:00,2021,34.102137179908,-118.328141764,1.7728573441381,False,etunell,https://www.mapillary.com/app/?pKey=4028726423888305,CC BY-SA 4.0,2,699,1,parking,2 | PARKING | HOUR | 8AM | 8AM | 11AM | 8PM | MDNICHT | 8PM,0.971
hollywood/165175038852527_0,hollywood,crops/hollywood/165175038852527_0.jpg,165175038852527,2013-12-06T18:05:12+00:00,2013,34.103769511215,-118.34477408042,0.1217041,False,gyllen,https://www.mapillary.com/app/?pKey=165175038852527,CC BY-SA 4.0,2,680,1,parking,12NOON3PM | MONDAY | STREET SWEEPING | NO | PARKING | TIME | ANY | DISTRICT NO.96 | PERMITS EXEMPTED,0.99
hollywood/233720168654518_0,hollywood,crops/hollywood/233720168654518_0.jpg,233720168654518,2021-08-11T18:23:29.528000+00:00,2021,34.10031759944,-118.33979173565,90.155309850431,False,etunell,https://www.mapillary.com/app/?pKey=233720168654518,CC BY-SA 4.0,4,686,1,parking,12NOON-3PM | NUESUAY | NOSTOPPING | ANY TIME | VEHICLES OVER | HIGH OR Z2 LONG | PASSENGER | LOADING ONLY | 6:30AM9AM | 1:30PM24PM | SCHOOL DAYS | 2PARKING | HOUR | SCADOL,0.924
hollywood/297152232142707_0,hollywood,crops/hollywood/297152232142707_0.jpg,297152232142707,2017-07-01T14:48:02+00:00,2017,34.094506388889,-118.34417472222,269.02847220389,False,mly_la,https://www.mapillary.com/app/?pKey=297152232142707,CC BY-SA 4.0,3,662,1,unknown,Food Mart | ATM | GOLD | STATUS | a | GOLD | STATUS,0.968
