candidate_id,area,crop_path,image_id,captured_at,year,lat,lon,compass_angle,is_pano,creator_username,source_url,license,n_panels_detected,height_native,n_views,ocr_status,ocr_text,ocr_conf
koreatown/313031176994892_0,koreatown,crops/koreatown/313031176994892_0.jpg,313031176994892,2020-01-18T19:51:55.156000+00:00,2020,34.060482,-118.291601,358.36364746094,False,cfwarren3,https://www.mapillary.com/app/?pKey=313031176994892,CC BY-SA 4.0,4,1040,1,parking,ATURAL | ISTORY | USEUM | ANGELES COUNTY | 7-9 AM | 4-7 PM | MON-FRI | PARKING | PUBLIC | LIDOT Lot 691 | 682 S Vermont A | Wishie Citer 9005 | NOSTOPI | TOW-AW | 865 | SIKE | PM7PM | AM9AM,0.906
koreatown/261632642326397_0,koreatown,crops/koreatown/261632642326397_0.jpg,261632642326397,2019-12-21T19:16:28.203000+00:00,2019,34.063629,-118.29217,269.29431152344,False,mikaeljudah,https://www.mapillary.com/app/?pKey=261632642326397,CC BY-SA 4.0,3,786,1,parking,ROAD WORK | END | SCHOOL | ZONE | SPEED | LIMIT | 35 | ANTI-GRIDLOCK | ZONE | NO STOPPING | TOW-AWAY | 7AM9AM | 4PM=7PM | 2 | PARKING | HOUR | 9AM4PM,0.986
koreatown/883879805510315_0,koreatown,crops/koreatown/883879805510315_0.jpg,883879805510315,2020-01-18T23:00:18.172000+00:00,2020,34.063572,-118.297451,90.720397949219,False,cfwarren3,https://www.mapillary.com/app/?pKey=883879805510315,CC BY-SA 4.0,3,748,2,parking,NOSTOPPING | TOW-AWAY | 7AM-9AM | 4PM-7PM | NO | PARKING | ANY TIME,0.968
koreatown/301147248346937_0,koreatown,crops/koreatown/301147248346937_0.jpg,301147248346937,2019-12-21T19:09:08.174000+00:00,2019,34.061803,-118.290787,89.999938964844,False,mikaeljudah,https://www.mapillary.com/app/?pKey=301147248346937,CC BY-SA 4.0,3,770,1,parking,RIGHT | LANE | ENDS | 7 AM - 9 AM | 4 PM-7PM | MON-FRI | ENTCOOLOCK | Shatto | 600 S | TOW-AWAY | NOSTOPPING | 7=9AM | 4=7em | 1P | PARKING | HOUR | 9AM42M,0.912
koreatown/2888009808153633_0,koreatown,crops/koreatown/2888009808153633_0.jpg,2888009808153633,2020-01-20T19:46:28.124000+00:00,2020,34.063674,-118.300814,270.0,False,cfwarren3,https://www.mapillary.com/app/?pKey=2888009808153633,CC BY-SA 4.0,3,728,1,parking,SPÉED | LIMIT | 35 | BEIIW-AWAY | NU | STOPPING | 7AM=9AM | 4PM=7PM | 2 | PARKING | HOUR | 9AM=4PM,0.965
koreatown/4035386066550944_0,koreatown,crops/koreatown/4035386066550944_0.jpg,4035386066550944,2020-01-20T23:42:18.129000+00:00,2020,34.055847,-118.309457,92.116058349609,False,cfwarren3,https://www.mapillary.com/app/?pKey=4035386066550944,CC BY-SA 4.0,1,734,1,unknown,昌 | 元山麵屋,0.904
koreatown/464194177990495_0,koreatown,crops/koreatown/464194177990495_0.jpg,464194177990495,2017-08-04T12:54:42+00:00,2017,34.052641388889,-118.29617,260.47535118151,False,mly_la,https://www.mapillary.com/app/?pKey=464194177990495,CC BY-SA 4.0,2,837,1,unknown,Clveland | III,0.672
koreatown/854641141929795_0,koreatown,crops/koreatown/854641141929795_0.jpg,854641141929795,2020-01-18T20:36:32.112000+00:00,2020,34.063573,-118.292502,88.043273925781,False,cfwarren3,https://www.mapillary.com/app/?pKey=854641141929795,CC BY-SA 4.0,3,637,1,parking,SCHOOL | SPEED | LIMIT | 25 | ARE PRESENT | CHILDREN | WHEN | PR | ARKING | ROAD | WORK | AHEAD,0.994
koreatown/1099426298028935_0,koreatown,crops/koreatown/1099426298028935_0.jpg,1099426298028935,2024-04-17T21:37:25.055000+00:00,2024,34.052802685838,-118.29752760066,264.77593534125,False,dan613,https://www.mapillary.com/app/?pKey=1099426298028935,CC BY-SA 4.0,1,619,1,parking,豆副 | DONOT | ENTER | TOLE | NO PARKING | NO | C | MEMORY LOOK | e | CUSTOMER | PARKING | 1OT | UNAUTHDRIZED | E | VEHIOLES WILL BE | TOWED AT | 00 | OWNER'S EXPENSE,0.95
koreatown/942700087409049_0,koreatown,crops/koreatown/942700087409049_0.jpg,942700087409049,2024-04-17T21:37:26.105000+00:00,2024,34.052800446418,-118.29754654022,273.7766469375,False,dan613,https://www.mapillary.com/app/?pKey=942700087409049,CC BY-SA 4.0,1,565,1,parking,ENIE | NOPARKING | NO | MEMORY LOOK | CUSTOMER | PARKING | UNAUTHORIZED | VEHICLES WILL BE | TOWED AT | OWNER'S EXPENSE,0.983
koreatown/335209014688214_0,koreatown,crops/koreatown/335209014688214_0.jpg,335209014688214,2017-08-04T08:42:43+00:00,2017,34.061203055556,-118.29175638889,270.0,False,mly_la,https://www.mapillary.com/app/?pKey=335209014688214,CC BY-SA 4.0,1,555,12,parking,P | PUBLIC | PUBLIC | PARKING | PARKING | NL,0.996
koreatown/295433162173587_0,koreatown,crops/koreatown/295433162173587_0.jpg,295433162173587,2015-10-03T22:31:45.262000+00:00,2015,34.063499,-118.309228,327.8207,False,angelk,https://www.mapillary.com/app/?pKey=295433162173587,CC BY-SA 4.0,2,525,1,parking,"7AM9AM | 4PM7PM | EXCEPT SAT, AND SUN",0.984
koreatown/466520251227069_0,koreatown,crops/koreatown/466520251227069_0.jpg,466520251227069,2020-01-23T23:16:18.183000+00:00,2020,34.053811,-118.304187,180.97869873047,False,cfwarren3,https://www.mapillary.com/app/?pKey=466520251227069,CC BY-SA 4.0,2,526,1,parking,PASSENGER | LOADING ONLY | 6:30AM-9AM | 130PM-4PM | 2PARKING | 9AM-130M | NOSTOPPING | 6AM | 5PM,0.976
koreatown/541001873951093_0,koreatown,crops/koreatown/541001873951093_0.jpg,541001873951093,2017-08-04T08:27:40+00:00,2017,34.064746388889,-118.29177805556,274.11307309264,False,mly_la,https://www.mapillary.com/app/?pKey=541001873951093,CC BY-SA 4.0,1,518,1,parking,ANTI-GRIDLOCK | ZONE | TOW-AWAY | NOPPOISING | 7AM=9AM | 4PM | HOUR | PARKING | 9AM4PM,0.947
koreatown/506989847333619_0,koreatown,crops/koreatown/506989847333619_0.jpg,506989847333619,2017-08-04T12:53:35+00:00,2017,34.052603055556,-118.30270138889,89.999968269232,False,mly_la,https://www.mapillary.com/app/?pKey=506989847333619,CC BY-SA 4.0,2,502,1,parking,SPEED | LIMIT | 35 | CMIDLOCK | NO STOPPING | TOW-AWAY,0.973
koreatown/308230087373990_0,koreatown,crops/koreatown/308230087373990_0.jpg,308230087373990,2020-01-20T20:56:13.205000+00:00,2020,34.066616,-118.300406,179.18170166016,False,cfwarren3,https://www.mapillary.com/app/?pKey=308230087373990,CC BY-SA 4.0,2,502,1,parking,8AM=10AM | TOW-AWAY | NO STOPPING | 7AM=9AM,0.954
koreatown/1213640135738354_0,koreatown,crops/koreatown/1213640135738354_0.jpg,1213640135738354,2020-01-23T23:34:43.188000+00:00,2020,34.05445,-118.305862,90.658569335938,False,cfwarren3,https://www.mapillary.com/app/?pKey=1213640135738354,CC BY-SA 4.0,3,488,1,parking,"10AM""1PM | WEDNESDAY | STREET CLEANING | PASS2NGER | LOADING ONLY | 6:30AM | 09AM | 1:30PM | 104PM | SCHOOL DAYS | PARKING | HOUR | 9AM | TO | 1:30PM | CHOOL DAY",0.951
koreatown/380837541606433_0,koreatown,crops/koreatown/380837541606433_0.jpg,380837541606433,2024-04-17T21:37:23.548000+00:00,2024,34.052801714218,-118.29751387283,256.7029970236,False,dan613,https://www.mapillary.com/app/?pKey=380837541606433,CC BY-SA 4.0,2,488,1,parking,LON | DONOT | ENTER | NO PARKING | NO | WORY LO0X,0.935
koreatown/903213210248516_0,koreatown,crops/koreatown/903213210248516_0.jpg,903213210248516,2016-10-19T18:18:21.620000+00:00,2016,34.052695641532,-118.29795999277,337.86060539318,False,jopparn,https://www.mapillary.com/app/?pKey=903213210248516,CC BY-SA 4.0,2,478,1,parking,0121 | SCHEOL | SPEED | ARE PRESENT | CHILDREN | WHEN | NO | TOW | STOPPING | -AWAY | 2,0.966
koreatown/769457490433348_0,koreatown,crops/koreatown/769457490433348_0.jpg,769457490433348,2020-01-24T00:57:38.150000+00:00,2020,34.065142,-118.307858,0.0,False,cfwarren3,https://www.mapillary.com/app/?pKey=769457490433348,CC BY-SA 4.0,2,459,1,parking,STOP | ALL WAY | TOW-AWAY | NOPARKING | TEMPORARY | ANY TIME,0.995
koreatown/177279144270403_0,koreatown,crops/koreatown/177279144270403_0.jpg,177279144270403,2020-01-24T23:01:51.209000+00:00,2020,34.060494,-118.304186,0.98880004882812,False,turne514,https://www.mapillary.com/app/?pKey=177279144270403,CC BY-SA 4.0,2,494,1,parking,ROAD | WORK | AHEAD | 10AM-1PW | 2 | NIOUR | PARKING | 8AK6M,0.889
koreatown/484173176164381_0,koreatown,crops/koreatown/484173176164381_0.jpg,484173176164381,2020-01-18T19:54:35.130000+00:00,2020,34.059736,-118.290034,88.271514892578,False,cfwarren3,https://www.mapillary.com/app/?pKey=484173176164381,CC BY-SA 4.0,4,475,1,parking,2 | PARKING | AELNE | END | NOPARKING | 6:304PM,0.9
koreatown/369819964470275_0,koreatown,crops/koreatown/369819964470275_0.jpg,369819964470275,2019-12-21T19:19:40.179000+00:00,2019,34.063589,-118.300772,266.71014404297,False,mikaeljudah,https://www.mapillary.com/app/?pKey=369819964470275,CC BY-SA 4.0,3,480,1,parking,SPÉED | LIMIT | 35 | YOSTOPPING | LW-AWAY | 7AM=9AM | 4P=7FM | 2 PARKING | 9AN4PM,0.885
koreatown/1591535464390510_0,koreatown,crops/koreatown/1591535464390510_0.jpg,1591535464390510,2020-01-20T22:48:31.105000+00:00,2020,34.069053,-118.305235,273.8369140625,False,cfwarren3,https://www.mapillary.com/app/?pKey=1591535464390510,CC BY-SA 4.0,1,439,3,unknown,3rd St,0.984
koreatown/485426192780711_0,koreatown,crops/koreatown/485426192780711_0.jpg,485426192780711,2017-08-04T08:42:41+00:00,2017,34.061483055556,-118.29174305556,179.13704712153,False,mly_la,https://www.mapillary.com/app/?pKey=485426192780711,CC BY-SA 4.0,3,432,12,parking,P | PUBLIC | PARKING | WILMONT,0.997
koreatown/846230323978841_0,koreatown,crops/koreatown/846230323978841_0.jpg,846230323978841,2024-04-17T21:37:24.060000+00:00,2024,34.052801714218,-118.29751387283,267.60794575525,False,dan613,https://www.mapillary.com/app/?pKey=846230323978841,CC BY-SA 4.0,2,445,1,parking,DONOT | N | ENTER | NO PARKING | ON | MEMORYLOOK | CUSTOMER | PARKING | UNAUTHDA | VEHICLES RLLBE | TORED AT | ONNERS EXPENSE,0.948
koreatown/1119481208528568_0,koreatown,crops/koreatown/1119481208528568_0.jpg,1119481208528568,2016-10-19T18:50:58.376000+00:00,2016,34.061789192396,-118.30502682825,281.41319713822,False,jopparn,https://www.mapillary.com/app/?pKey=1119481208528568,CC BY-SA 4.0,1,447,1,parking,·TOW-AWAY | NOSTOPPING | 7199 AM. | 40 7 PM. | 2 | HOUR | PARKING | 9AM'4M,0.914
koreatown/186057413345829_0,koreatown,crops/koreatown/186057413345829_0.jpg,186057413345829,2016-10-19T20:33:19.530000+00:00,2016,34.068509356881,-118.30902407839,16.807998075404,False,jopparn,https://www.mapillary.com/app/?pKey=186057413345829,CC BY-SA 4.0,1,425,1,parking,TOW-AWAY | THE | EROS | TIME | ANY |  380 | OSCLSH | JOIK,0.934
koreatown/797486671159367_0,koreatown,crops/koreatown/797486671159367_0.jpg,797486671159367,2020-01-23T23:19:45.178000+00:00,2020,34.06976,-118.291764,180.0,False,turne514,https://www.mapillary.com/app/?pKey=797486671159367,CC BY-SA 4.0,3,430,1,parking,NOSTL | 7AM | APM | PARKING | HOUR | 4PM | PARKING | PASSENGER | EOADING ONLY | 2AM,0.913
koreatown/782372136002731_0,koreatown,crops/koreatown/782372136002731_0.jpg,782372136002731,2015-09-11T00:17:26.696000+00:00,2015,34.06176,-118.301761,273.0219,False,canadarunner,https://www.mapillary.com/app/?pKey=782372136002731,CC BY-SA 4.0,2,409,1,parking,WAY | NO STOPPING | 1PARKING | 9AM4p,0.951
koreatown/817540112189153_0,koreatown,crops/koreatown/817540112189153_0.jpg,817540112189153,2020-01-25T00:51:52.233000+00:00,2020,34.061753,-118.299184,91.024475097656,False,turne514,https://www.mapillary.com/app/?pKey=817540112189153,CC BY-SA 4.0,2,494,1,unknown,内,0.698
koreatown/329498208698975_0,koreatown,crops/koreatown/329498208698975_0.jpg,329498208698975,2019-12-21T19:48:12.656000+00:00,2019,34.06718170412,-118.30327077528,78.624206542969,False,mikaeljudah,https://www.mapillary.com/app/?pKey=329498208698975,CC BY-SA 4.0,2,397,1,parking,8AM10AM | THURSDAY | STBEET CLEA | 2HOUR | PARKING | 8AM6PM,0.983
