candidate_id,decision,decided_at
westwood/162558839147364_0,accept,2026-09-19T08:09:22+00:00
westwood/3009315509291512_0,reject,2026-09-19T08:09:22+00:00
westwood/1079641452561950_0,accept,2026-09-19T08:09:22+00:00
westwood/561596018135371_0,accept,2026-09-19T08:09:22+00:00
westwood/2888747168067013_0,reject,2026-09-19T08:09:22+00:00
westwood/790306165006107_0,accept,2026-09-19T08:09:22+00:00
westwood/2545791035730276_0,accept,2026-09-19T08:09:22+00:00
westwood/401881877825084_0,accept,2026-09-19T08:09:22+00:00
westwood/3764630893664675_0,accept,2026-09-19T08:09:22+00:00
westwood/511431956935445_0,accept,2026-09-19T08:09:22+00:00
westwood/486138699248260_0,accept,2026-09-19T08:09:22+00:00
westwood/1190700048033355_0,accept,2026-09-19T08:09:22+00:00
westwood/2832890976928543_0,reject,2026-09-19T08:09:22+00:00
westwood/1380709968953294_0,accept,2026-09-19T08:09:22+00:00
westwood/257693482709959_0,accept,2026-09-19T08:09:22+00:00
westwood/486787749230896_0,accept,2026-09-19T08:09:22+00:00
westwood/228272985305192_0,accept,2026-09-19T08:09:22+00:00
westwood/159421696315882_0,accept,2026-09-19T08:09:22+00:00
westwood/424320785643104_0,accept,2026-09-19T08:09:22+00:00
westwood/219895260074403_0,accept,2026-09-19T08:09:22+00:00
westwood/2994619354102965_0,reject,2026-09-19T08:09:22+00:00
westwood/536687870824467_0,accept,2026-09-19T08:09:22+00:00
westwood/5464826703588963_0,accept,2026-09-19T08:09:22+00:00
westwood/2955757451327487_0,accept,2026-09-19T08:09:22+00:00
westwood/2885556218358384_0,accept,2026-09-19T08:09:22+00:00
westwood/950213785756650_0,accept,2026-09-19T08:09:22+00:00
westwood/904935000071370_0,accept,2026-09-19T08:09:22+00:00
westwood/486211459163704_0,accept,2026-09-19T08:09:22+00:00
westwood/804183043852336_0,accept,2026-09-19T08:09:22+00:00
westwood/973623256801835_0,accept,2026-09-19T08:09:22+00:00
westwood/1333101073732686_0,accept,2026-09-19T08:09:22+00:00
westwood/925258241619471_0,accept,2026-09-19T08:09:22+00:00
westwood/782846442619900_0,accept,2026-09-19T08:09:22+00:00
westwood/464214147974416_0,accept,2026-09-19T08:09:22+00:00
westwood/775918083110022_0,accept,2026-09-19T08:09:22+00:00
westwood/180982760437925_0,accept,2026-09-19T08:09:22+00:00
westwood/3651235884981643_0,accept,2026-09-19T08:09:22+00:00
westwood/321425509413007_0,accept,2026-09-19T08:09:22+00:00
westwood/155052649813847_0,accept,2026-09-19T08:09:22+00:00
westwood/321141522909912_0,reject,2026-09-19T08:09:22+00:00
westwood/994485604419607_0,accept,2026-09-19T08:10:24+00:00
westwood/267550838385317_0,accept,2026-09-19T08:10:24+00:00
westwood/303181644740562_0,reject,2026-09-19T08:10:24+00:00
westwood/1351490648567392_0,accept,2026-09-19T08:10:24+00:00
westwood/304492527806260_0,reject,2026-09-19T08:10:24+00:00
westwood/997487053989235_0,reject,2026-09-19T08:10:24+00:00
westwood/1659108824292314_0,reject,2026-09-19T08:10:24+00:00
westwood/760505107958849_0,reject,2026-09-19T08:10:24+00:00
westwood/471243060797484_0,reject,2026-09-19T08:10:24+00:00
westwood/635447331186590_1,reject,2026-09-19T08:10:24+00:00
westwood/776197153044538_0,reject,2026-09-19T08:10:24+00:00
westwood/1500736727496906_0,reject,2026-09-19T08:10:24+00:00
westwood/756329418387140_0,reject,2026-09-19T08:10:24+00:00
westwood/604169957642154_0,reject,2026-09-19T08:10:24+00:00
westwood/314006590219623_0,reject,2026-09-19T08:10:24+00:00
westwood/686627426893146_0,accept,2026-09-19T08:10:24+00:00
