candidate_id,area,crop_path,image_id,captured_at,year,lat,lon,compass_angle,is_pano,creator_username,source_url,license,n_panels_detected,height_native,n_views,ocr_status,ocr_text,ocr_conf
westwood/401881877825084_0,westwood,crops/westwood/401881877825084_0.jpg,401881877825084,2019-12-22T23:01:32.152000+00:00,2019,34.057489,-118.448769,252.08337402344,False,ericaschecter,https://www.mapillary.com/app/?pKey=401881877825084,CC BY-SA 4.0,2,601,2,parking,VETERANS | PARKWAY | NO | STOPPING | ANY TIME,0.994
westwood/1079641452561950_0,westwood,crops/westwood/1079641452561950_0.jpg,1079641452561950,2019-06-22T20:40:17+00:00,2019,34.057943833333,-118.4467345,74.319999694824,False,mds08011,https://www.mapillary.com/app/?pKey=1079641452561950,CC BY-SA 4.0,3,519,1,parking,ayley | RIGHT LANE | BUSES | RIGHT TURNS | ONLY | 7AM-9AM | 4PM-7PM | MON-FRI | BIKES OK | SPEED | LIMIT | 35 | TOW-AWAY | NOSTOPPING | ANY TIME,0.989
westwood/379698783335618_0,westwood,crops/westwood/379698783335618_0.jpg,379698783335618,2018-07-30T19:25:07.828000+00:00,2018,34.059659133868,-118.44462679429,326.37084960938,False,lvl5,https://www.mapillary.com/app/?pKey=379698783335618,CC BY-SA 4.0,4,513,1,parking,7AM10AM | 3PM7PM | EXCEPT SAT,0.991
westwood/162558839147364_0,westwood,crops/westwood/162558839147364_0.jpg,162558839147364,2019-06-22T20:40:11+00:00,2019,34.057759,-118.447409,71.51000213623,False,mds08011,https://www.mapillary.com/app/?pKey=162558839147364,CC BY-SA 4.0,4,469,1,parking,FlyAway | Bus | to LAX | ELECTRIC | VEHICLE | STATION | NOSTOPPING,0.984
westwood/214709433545715_0,westwood,crops/westwood/214709433545715_0.jpg,214709433545715,2020-10-22T23:06:30.205000+00:00,2020,34.064221137848,-118.45280246076,226.95803833008,False,shawnfujioka,https://www.mapillary.com/app/?pKey=214709433545715,CC BY-SA 4.0,1,460,1,unknown,"Lost Cat | ""Ophclia"" | (951) 322-2635",0.97
westwood/480639283058825_0,westwood,crops/westwood/480639283058825_0.jpg,480639283058825,2016-08-30T20:57:04.853000+00:00,2016,34.056573,-118.451014,166.8203,False,cscrivens,https://www.mapillary.com/app/?pKey=480639283058825,CC BY-SA 4.0,2,433,1,unknown,CAUTION | VERTICAL | CLEARANCE | 15'0 | PARK & | RIDE,0.98
westwood/3764630893664675_0,westwood,crops/westwood/3764630893664675_0.jpg,3764630893664675,2019-12-22T23:01:35.187000+00:00,2019,34.057344,-118.449274,247.28741455078,False,ericaschecter,https://www.mapillary.com/app/?pKey=3764630893664675,CC BY-SA 4.0,2,427,1,parking,RIGHT LANE | MUST | TURN RIGHT | GIOPPING | ARY TIME,0.972
westwood/561596018135371_0,westwood,crops/westwood/561596018135371_0.jpg,561596018135371,2016-08-30T21:11:44.535000+00:00,2016,34.053131,-118.4491,29.64612,False,cscrivens,https://www.mapillary.com/app/?pKey=561596018135371,CC BY-SA 4.0,3,401,1,parking,ELECTRIC | VEHICLE | CHARGING | STATION | NO | STOPPING | ANY TIME,0.991
westwood/511431956935445_0,westwood,crops/westwood/511431956935445_0.jpg,511431956935445,2018-11-30T16:46:05.118000+00:00,2018,34.045959130351,-118.45015883033,71.309501647949,False,lvl5,https://www.mapillary.com/app/?pKey=511431956935445,CC BY-SA 4.0,2,394,3,parking,ATORS WILL BE PROSECUTED | Penal C5 626 et q | ANTI- | NOSTOPPING | 7AM 10 9AM | 4PM 1 7PM | PAI,0.89
westwood/2888747168067013_0,westwood,crops/westwood/2888747168067013_0.jpg,2888747168067013,2017-11-02T20:21:54.009000+00:00,2017,34.063472104163,-118.44523676224,15.372714996338,False,lvl5,https://www.mapillary.com/app/?pKey=2888747168067013,CC BY-SA 4.0,3,355,1,parking,Le Conte | 10800 W | DROP- | &PICK | WEEKDAY | 7AM- | ON RED | nexdb,0.966
westwood/312037163642945_0,westwood,crops/westwood/312037163642945_0.jpg,312037163642945,2018-02-26T19:04:05.757000+00:00,2018,34.0624680675,-118.44692213825,122.30902099609,False,whereismystreet,https://www.mapillary.com/app/?pKey=312037163642945,CC BY-SA 4.0,2,353,2,unknown,R | ON RED,0.966
westwood/304492527806260_0,westwood,crops/westwood/304492527806260_0.jpg,304492527806260,2018-07-30T22:05:21.687000+00:00,2018,34.05767997352,-118.44839546917,255.45379638672,False,lvl5,https://www.mapillary.com/app/?pKey=304492527806260,CC BY-SA 4.0,4,363,1,unknown,心 | 聘,0.829
westwood/462138781552590_0,westwood,crops/westwood/462138781552590_0.jpg,462138781552590,2016-08-30T21:03:22.857000+00:00,2016,34.057454,-118.448456,350.7458,False,cscrivens,https://www.mapillary.com/app/?pKey=462138781552590,CC BY-SA 4.0,2,353,1,parking,RII | AHSA. | 7AM | 9AM | 4PM | 7PM,0.856
westwood/486138699248260_0,westwood,crops/westwood/486138699248260_0.jpg,486138699248260,2016-08-30T21:06:16.511000+00:00,2016,34.0528,-118.448595,234.5627,False,cscrivens,https://www.mapillary.com/app/?pKey=486138699248260,CC BY-SA 4.0,2,331,1,parking,DONOTLA | TOW-AWAY | NOSTOPPING | 5:30AM7AM | 1:30PM6:30PM | WBAYIODFEOAY | BUS ZONE | 4 | HOUR | PARKING | 8AM6PM,0.919
westwood/2994619354102965_0,westwood,crops/westwood/2994619354102965_0.jpg,2994619354102965,2020-10-22T23:06:39.643000+00:00,2020,34.064184337645,-118.4529259923,232.11155700684,False,shawnfujioka,https://www.mapillary.com/app/?pKey=2994619354102965,CC BY-SA 4.0,1,333,1,parking,NO DUAPING | NO PERSON SHALL | DHROW OR OSCAND | TRASH CR BULKY ITEMS | DONN ANYC | PENALTYE | 6MONTHS IN JAL | LAMC11.00() | VENICLE | CONRSCATION | LAMC41.70.3(0) | CALL | 74390311,0.857
westwood/2832890976928543_0,westwood,crops/westwood/2832890976928543_0.jpg,2832890976928543,2018-07-30T19:25:03.090000+00:00,2018,34.059403110694,-118.44441474465,327.27294921875,False,lvl5,https://www.mapillary.com/app/?pKey=2832890976928543,CC BY-SA 4.0,2,304,2,parking,7AM10AM | 3PM | 7PM | EXCEPT SAT | SUN,0.982
westwood/507054656990212_0,westwood,crops/westwood/507054656990212_0.jpg,507054656990212,2016-09-02T15:45:15.878000+00:00,2016,34.057711,-118.447733,108.8312,False,cscrivens,https://www.mapillary.com/app/?pKey=507054656990212,CC BY-SA 4.0,3,300,3,unknown,FlyAway | Bus | to LAX,0.998
westwood/1190700048033355_0,westwood,crops/westwood/1190700048033355_0.jpg,1190700048033355,2020-10-22T16:59:52.587000+00:00,2020,34.064907335661,-118.45172385995,354.86676025391,False,shawnfujioka,https://www.mapillary.com/app/?pKey=1190700048033355,CC BY-SA 4.0,2,317,1,parking,8AM | IIAM | 2 | HOUR | PARKING | 9AM | 4PM,0.921
westwood/1446921465652887_0,westwood,crops/westwood/1446921465652887_0.jpg,1446921465652887,2018-11-30T16:52:42.369000+00:00,2018,34.048830171017,-118.43953032989,81.194412231445,False,lvl5,https://www.mapillary.com/app/?pKey=1446921465652887,CC BY-SA 4.0,3,315,7,unknown,88,0.927
westwood/536687870824467_0,westwood,crops/westwood/536687870824467_0.jpg,536687870824467,2020-10-22T16:57:31.606000+00:00,2020,34.064249679606,-118.45241549225,69.222564697266,False,shawnfujioka,https://www.mapillary.com/app/?pKey=536687870824467,CC BY-SA 4.0,1,300,1,parking,8AM° 11AM | THURSDAY | STREET SWEEPING,0.934
westwood/932494610631032_0,westwood,crops/westwood/932494610631032_0.jpg,932494610631032,2017-11-21T16:06:59.255000+00:00,2017,34.048995649009,-118.44900075644,243.99096679688,False,astheduke,https://www.mapillary.com/app/?pKey=932494610631032,CC BY-SA 4.0,2,288,1,unknown,SHÁRE | THE | ROAD,0.992
westwood/5464826703588963_0,westwood,crops/westwood/5464826703588963_0.jpg,5464826703588963,2016-08-30T21:03:14.867000+00:00,2016,34.057174,-118.449348,346.0681,False,cscrivens,https://www.mapillary.com/app/?pKey=5464826703588963,CC BY-SA 4.0,1,286,3,parking,NO | STOPPING | ANY TIME,0.999
westwood/790306165006107_0,westwood,crops/westwood/790306165006107_0.jpg,790306165006107,2017-06-14T09:53:55+00:00,2017,34.049283055556,-118.43653305556,137.83499303845,False,mly_la,https://www.mapillary.com/app/?pKey=790306165006107,CC BY-SA 4.0,3,319,1,parking,SH | ACUR | PARKING | 8AN=8PW,0.842
westwood/481129906441697_0,westwood,crops/westwood/481129906441697_0.jpg,481129906441697,2019-06-22T20:40:14+00:00,2019,34.057859666667,-118.44706083333,67.169998168945,False,mds08011,https://www.mapillary.com/app/?pKey=481129906441697,CC BY-SA 4.0,3,297,1,unknown,wood vila | CNG | HOSPITAL | H,0.936
westwood/3009315509291512_0,westwood,crops/westwood/3009315509291512_0.jpg,3009315509291512,2018-07-30T19:25:06.927000+00:00,2018,34.059600440597,-118.44458137604,326.978515625,False,lvl5,https://www.mapillary.com/app/?pKey=3009315509291512,CC BY-SA 4.0,4,329,2,parking,G | ZAM OOAM | 3PM | V,0.771
westwood/583315675966269_0,westwood,crops/westwood/583315675966269_0.jpg,583315675966269,2019-12-22T23:01:37.156000+00:00,2019,34.057256,-118.449546,242.99505615234,False,ericaschecter,https://www.mapillary.com/app/?pKey=583315675966269,CC BY-SA 4.0,3,277,1,unknown,W,0.901
westwood/139077701588378_0,westwood,crops/westwood/139077701588378_0.jpg,139077701588378,2018-07-30T22:05:29.530000+00:00,2018,34.057562459326,-118.44888665058,252.04911804199,False,lvl5,https://www.mapillary.com/app/?pKey=139077701588378,CC BY-SA 4.0,3,345,1,unknown,r,0.625
