candidate_id,stratum
westwood/904935000071370_0,1
venice_mar_vista/905807009964287_1,3+
venice_mar_vista/2662651274033887_0,3+
venice_mar_vista/311835976992044_0,1
downtown/570152087762596_0,1
hollywood/478723296768087_0,2
downtown/898386997374269_0,1
downtown/526297575407325_0,1
hollywood/2848572432123905_0,2
hollywood/134030375380960_0,2
venice_mar_vista/216238709877591_0,1
hollywood/210346127320156_0,1
downtown/1408076479526388_0,1
venice_mar_vista/1958164560989146_0,3+
hollywood/787418872144725_0,2
hollywood/742098629791366_0,2
downtown/1978113992342304_1,3+
westwood/2974682646141523_0,2
hollywood/2785250765073937_1,1
downtown/304010334661037_0,1
venice_mar_vista/3996829440623366_0,3+
downtown/873787696505085_0,2
hollywood/485262289486305_0,1
koreatown/479522773166628_0,2
downtown/470909580632539_0,1
venice_mar_vista/540898340244104_0,3+
hollywood/4170597339671460_0,1
koreatown/840835610181444_0,3+
venice_mar_vista/2249168055616648_0,1
westwood/247896597117765_0,1
downtown/467429901154153_0,3+
venice_mar_vista/295650298687476_0,1
hollywood/1201376660283059_0,3+
venice_mar_vista/1125237424619280_0,3+
koreatown/929292794539105_0,1
hollywood/212880013643279_0,3+
hollywood/165175038852527_0,2
koreatown/1616286288577778_1,2
hollywood/893149998251762_0,3+
hollywood/444531109910411_0,2
hollywood/2820702414848000_0,3+
downtown/1143383169506763_0,1
downtown/307843450865450_0,3+
koreatown/305547004582759_0,2
koreatown/1132788567235033_0,1
hollywood/2966758966942612_0,2
westwood/202478601691451_0,1
hollywood/233720168654518_0,3+
westwood/1255387542487987_0,3+
westwood/469228214305226_0,1
hollywood/195062692459020_0,2
hollywood/314959356644326_0,2
westwood/236933864895671_0,1
hollywood/137716338273338_0,2
hollywood/1185614415215579_0,1
venice_mar_vista/4173810915995202_0,1
westwood/1079641452561950_0,3+
hollywood/1142962586168070_0,2
hollywood/2583953095242033_0,1
koreatown/3919290318147174_0,1
koreatown/903213210248516_0,2
venice_mar_vista/512182189977426_0,2
hollywood/475434077058952_0,1
koreatown/515050999508217_1,2
hollywood/310938833935780_0,2
koreatown/2812892008974875_0,1
westwood/771639990379165_0,2
downtown/486370679083956_0,1
venice_mar_vista/531291478034699_0,2
hollywood/497654778041613_0,1
westwood/152893246800621_0,3+
hollywood/1622277124827702_0,1
hollywood/527089174952571_0,1
downtown/748359119168671_0,1
venice_mar_vista/1108461082972777_1,1
koreatown/471882947355951_0,1
venice_mar_vista/475393653794472_0,3+
downtown/326641155541339_0,3+
hollywood/221006516095185_0,2
venice_mar_vista/1110537086140299_0,2
venice_mar_vista/148095643878083_0,2
westwood/2838087756441088_0,3+
koreatown/1696265447247115_0,2
westwood/267550838385317_0,1
hollywood/524236618930719_0,1
hollywood/1502168876842231_0,2
westwood/589784795722537_0,1
koreatown/517505909632199_0,3+
downtown/377577240337944_0,2
venice_mar_vista/1514585342206324_0,3+
westwood/321425509413007_0,1
hollywood/2561623510805077_0,2
venice_mar_vista/279265100576088_1,1
westwood/132868838899950_0,3+
hollywood/561952481440531_0,2
hollywood/554613945671780_0,2
venice_mar_vista/205696814450323_0,2
venice_mar_vista/1206161959833599_1,2
venice_mar_vista/2171495536325706_0,2
westwood/481129906441697_0,3+
