sign_id,evidence,n_panels,n_queries,crop_path,ocr
hollywood/137619455019286_0,both,2,15,crops/hollywood/137619455019286_0.jpg,2AM6AM | VEHICLES OVER | THIGH OR 22 LONG | LX34183 | CALL3-I-ETOR INTORMAT | NO | PARKING | 10AM1PM | TUEESOAX | STREET CLEANING
hollywood/219175372981985_0,both,1,15,crops/hollywood/219175372981985_0.jpg,2AM=6AM | VEHICLES OVER | THIGH OR 22'LONG
hollywood/466798171215772_0,both,2,15,crops/hollywood/466798171215772_0.jpg,2AM6AM | VEHICLES OVER | SNO22NY 808 | HI | 12NDON=3PH | FUESOAS
hollywood/742098629791366_0,both,2,15,crops/hollywood/742098629791366_0.jpg,2AM=6AM | VEHICLES OVER | 5N072280 | 10AMm1PM | TUESTR | STREET CLEAKN
hollywood/781441539226927_0,both,2,15,crops/hollywood/781441539226927_0.jpg,2AM6AM | VEHICLES OVER | 7 HIGH OR 22'LONG | EXCEPT BY PERMIT | CALL 3-1-IFOR INFORMATION | LAXC B0.69A
venice_mar_vista/1043356912861963_0,both,2,15,crops/venice_mar_vista/1043356912861963_0.jpg,2AMT06AM | VEHICLES OVER | 7 HIGH OR 22' LONG | EXCEPT BY PERMIT | CALL 3-1-1 FOR INFDPMATION | LA.M.C. 80.69.4 | 10AM12NOON | MONDAY | STRE
venice_mar_vista/1126235174517459_0,both,1,15,crops/venice_mar_vista/1126235174517459_0.jpg,2AM06AM | VEHICLES OVER | 7 HIGH OR 22 LONG | LECDPT IT PERNCT | ALL 344 FOR NFORNADON
venice_mar_vista/1168120227038775_0,both,2,15,crops/venice_mar_vista/1168120227038775_0.jpg,2AM6AM | VEHICLES OVER | 7 HIGH OR 22' LONG | EXCEPT BY PERMIT | CALL 3-1-1FOR INFORMATION | LAMC80.694 | 10AM 12NO0N | THUPSDAY | LEANING |
venice_mar_vista/128973639218398_0,both,1,15,crops/venice_mar_vista/128973639218398_0.jpg,2AMT06AM | VEHICLES OVER | T HIGH OR 22' LONG | EXCET BRT BPRNT | CALL 3-1-1 FOR INFORMATION | LA.M.C.80.69.4
venice_mar_vista/1588292274703333_0,both,1,15,crops/venice_mar_vista/1588292274703333_0.jpg,2AMT6AM | VEHICLES OVER | 7 HIGH OR 22 LONG | EXCUPI BY PERET | CALL 3-H FOR INFORMATION | LAMC80.69A
venice_mar_vista/238146391278071_0,both,1,15,crops/venice_mar_vista/238146391278071_0.jpg,2AM06AM | VEHICLES OVER | 7 HIGH OR 22 LONG | EXCEPT BY PERNIT | CALL 3--Y POR INFORMATION | LAMC80.69.4
venice_mar_vista/247547723768525_0,both,1,15,crops/venice_mar_vista/247547723768525_0.jpg,6AM | 2AM | VEHICLES OVER | 7 HIGH OR 22' LONG | EXCEPT BY PERMIT | LAMC 80.694
venice_mar_vista/279265100576088_1,both,1,15,crops/venice_mar_vista/279265100576088_1.jpg,2AM6AM | VENICLES OVER | HIGH OR 22 LON
venice_mar_vista/284027640050237_0,both,2,15,crops/venice_mar_vista/284027640050237_0.jpg,2AM6AM | VEHICLES OVER | 7'HIGH OR 22' LONG | EXCEPT BY PERMIT | CALL 3-HFOR INFURMATION | LAMC 8069A | 9AMTIAM | THURSDAY
venice_mar_vista/293908892394940_0,both,1,15,crops/venice_mar_vista/293908892394940_0.jpg,2AM6AM | VEHICLES OVER | T HIGH OR 22 LONG | EECEPT BY PERMAT | CALL 3-1-1 FOR F DRMA1N | LANE BGARA
venice_mar_vista/298951178543689_0,both,1,15,crops/venice_mar_vista/298951178543689_0.jpg,R | 2AM6AM | EMICLES OVER | OR 22 LONG
venice_mar_vista/306918777686933_0,both,2,15,crops/venice_mar_vista/306918777686933_0.jpg,2AM6AM | VEHICLES OVER | T HIGH OR 22° LONG | NO | PARKING | 12NOON-2PM
venice_mar_vista/311835976992044_0,both,1,15,crops/venice_mar_vista/311835976992044_0.jpg,2AM6AM | VEHICLES OVER | 7 HIGH OR 22' LONG | EXCEPT BY PERMET | CALL 3-1-1 FOR INFORMATION | LAMC_80.694
venice_mar_vista/368898851151330_0,both,2,15,crops/venice_mar_vista/368898851151330_0.jpg,2AM6AM | VEHICLES OVER | 7 HIGH OR 22 LONG | 10AM12NOON
venice_mar_vista/4025285184159517_0,both,1,15,crops/venice_mar_vista/4025285184159517_0.jpg,2AM6AM | VEHICLES OVER | 7' HIGH OR 22' LONG | EXCEPT BY PERMIT | CALL J--1FOR INFORMATION | LAMC 80694
venice_mar_vista/4041472355909769_0,both,2,15,crops/venice_mar_vista/4041472355909769_0.jpg,3 | 10AN=12NO0N | MONDAY | 2AMT06AM | VENICLES OVER | HIGH OR 22 LONG
venice_mar_vista/461273131840888_0,both,2,15,crops/venice_mar_vista/461273131840888_0.jpg,AM6AM | VEHICLES OVER | 7 HIGH OR 22 LONG | EXCEPT BY PERMIT | CALL 3-1-1 FOR NFCRMATW | AMC | 12N0ON=2PM | TUESDAY | SWEEPING
venice_mar_vista/467296844339136_0,both,2,15,crops/venice_mar_vista/467296844339136_0.jpg,2AM6AM | VEHICLES OVER | 7 HIGH OR 2Z LONG | EXCEPT BY PEROGT | J-1-1TOR ORMATION | 10AM-12NOON | TUESBAT |  N
venice_mar_vista/469640430968774_0,both,2,15,crops/venice_mar_vista/469640430968774_0.jpg,2AM6AM | VEHICLES OVER | 7 HIGH OR 22 LONG | EXCEPT RY PERSIT | CALL 3-1-1FOR NFORMATION | LAMCR0.694 | 10AM12NOON | TUESDAY | STREET CLEARI
venice_mar_vista/505127724256622_0,both,2,15,crops/venice_mar_vista/505127724256622_0.jpg, To 6AM | 2AM | VEHICLES OVER | 7'HIGH OR 22' LONG | EXCET BY PERMIT | CALE SHIFOR INFORMATION | LAMC B069A | 4 HOUR | PARKING | 8AM To 6 PM
venice_mar_vista/512182189977426_0,both,2,15,crops/venice_mar_vista/512182189977426_0.jpg,2AM06AM | VEHICLES OVER | T HIGH OR 22' LONG | EXZEPT BY PERNIT | CALL 3-4-1FOR NTDRMATIO | LAMC 80694 | WEDRESOAY | STRE | XWEEPING
venice_mar_vista/517281619438437_0,both,2,15,crops/venice_mar_vista/517281619438437_0.jpg,2AM6AM | VEHICLES OVER | HIGH OR 22' LONG | CECEPT BT PLRORT | CALL HH FOR INFORMATIOS | LAMC.00A94 | TOAM12NOON | STHEET SWEEPINE
venice_mar_vista/804237330502296_0,both,2,15,crops/venice_mar_vista/804237330502296_0.jpg,2AM6AM | VEHICLES OVER | 7 HIGH OR 2Z LONG | EACEPT BY PE | 8AM10AM | MONDAY | 133615 | SWEEPINS | VEHICLES | OVER 6 | FEET HIGH
venice_mar_vista/814045982549669_0,both,1,15,crops/venice_mar_vista/814045982549669_0.jpg,VEHICLES | OVER 6 | FEETHIGH | 2AM6AM | VEHICLES OVER | HIGH 0R 22 LONG
venice_mar_vista/839569949969692_0,both,2,15,crops/venice_mar_vista/839569949969692_0.jpg,2AM6AM | VEHICLES OVER | 7 HIGH OR 22 LONG | EXCEPT SY PERMIT | CAL C--ON | LAMC80694 | 10AM-12NOON | WEDNESDAY | SE33313381S
venice_mar_vista/923033445200269_0,both,1,15,crops/venice_mar_vista/923033445200269_0.jpg,2AM6AM | VEHICLES | OVER6 | FEETHIGH | 巴
hollywood/1790662574448539_0,labeled 02-06 only: CONFIRM BY EYE,2,15,crops/hollywood/1790662574448539_0.jpg,R | 2AM=6AM | R | 10AM=1PM
hollywood/2888196741496726_0,labeled 02-06 only: CONFIRM BY EYE,2,15,crops/hollywood/2888196741496726_0.jpg,R | R | 10AM1PM
venice_mar_vista/1108461082972777_1,labeled 02-06 only: CONFIRM BY EYE,1,15,crops/venice_mar_vista/1108461082972777_1.jpg,2AM6AM | 0R 22 LON
venice_mar_vista/1388870049836330_0,labeled 02-06 only: CONFIRM BY EYE,1,15,crops/venice_mar_vista/1388870049836330_0.jpg,2AM6AM | VEBILLES OVLR | OR 22 10N0
venice_mar_vista/1958164560989146_0,labeled 02-06 only: CONFIRM BY EYE,2,15,crops/venice_mar_vista/1958164560989146_0.jpg,R | 2AM | 6AM | R
venice_mar_vista/905807009964287_1,labeled 02-06 only: CONFIRM BY EYE,3,15,crops/venice_mar_vista/905807009964287_1.jpg,2AM=6AM | 2HOUR | PARESNG | 8AM6PM
venice_mar_vista/497036401468252_0,oversize text only,1,15,crops/venice_mar_vista/497036401468252_0.jpg,10AM 12N0O0N | MONDAY | STREET CIEAMINE | NO | PARKING | VEHICLES | OVER 6 FT | HIGH
