sign_id,flagged,n_panels,n_queries,rules,crop_path
downtown/157514626346539_0,True,3,15,"no_parking,time_limited",crops/downtown/157514626346539_0.jpg
downtown/226526995589854_0,True,3,15,"no_parking,time_limited",crops/downtown/226526995589854_0.jpg
hollywood/167494915287968_0,True,3,15,"no_parking,time_limited",crops/hollywood/167494915287968_0.jpg
westwood/486138699248260_0,True,3,15,"no_parking,time_limited",crops/westwood/486138699248260_0.jpg
koreatown/496810371373082_0,True,2,15,no_parking,crops/koreatown/496810371373082_0.jpg
koreatown/952835668886356_0,True,2,15,no_parking,crops/koreatown/952835668886356_0.jpg
downtown/898386997374269_0,True,1,14,no_parking,crops/downtown/898386997374269_0.jpg
hollywood/173574074650876_0,True,1,14,no_parking,crops/hollywood/173574074650876_0.jpg
koreatown/1616286288577778_1,True,1,14,no_parking,crops/koreatown/1616286288577778_1.jpg
koreatown/199714395177630_0,True,1,14,no_parking,crops/koreatown/199714395177630_0.jpg
koreatown/216610643300971_0,True,1,15,no_parking,crops/koreatown/216610643300971_0.jpg
koreatown/2836019663325022_0,True,1,14,no_parking,crops/koreatown/2836019663325022_0.jpg
koreatown/2904772606447639_0,True,1,14,no_parking,crops/koreatown/2904772606447639_0.jpg
koreatown/503140404457126_0,True,1,14,no_parking,crops/koreatown/503140404457126_0.jpg
venice_mar_vista/192875152673202_0,True,1,14,no_parking,crops/venice_mar_vista/192875152673202_0.jpg
westwood/973623256801835_0,True,1,14,no_parking,crops/westwood/973623256801835_0.jpg
downtown/470217334091689_0,False,5,15,"no_stopping,time_limited",crops/downtown/470217334091689_0.jpg
downtown/494917368627113_0,False,5,15,"no_stopping,time_limited",crops/downtown/494917368627113_0.jpg
hollywood/1928144117348476_0,False,4,15,"no_parking,time_limited",crops/hollywood/1928144117348476_0.jpg
hollywood/2013547352117373_0,False,4,15,"no_parking,permit_only,time_limited",crops/hollywood/2013547352117373_0.jpg
hollywood/308772487289909_0,False,4,15,"no_stopping,time_limited",crops/hollywood/308772487289909_0.jpg
hollywood/310938833935780_0,False,4,15,"no_parking,time_limited",crops/hollywood/310938833935780_0.jpg
hollywood/538463990517683_0,False,4,15,"no_parking,time_limited",crops/hollywood/538463990517683_0.jpg
hollywood/617225442566940_0,False,4,15,"no_parking,time_limited",crops/hollywood/617225442566940_0.jpg
hollywood/617573036313747_0,False,4,15,"no_parking,time_limited",crops/hollywood/617573036313747_0.jpg
hollywood/837802730149191_0,False,4,15,"no_stopping,time_limited",crops/hollywood/837802730149191_0.jpg
hollywood/913244406193144_0,False,4,15,"no_parking,time_limited",crops/hollywood/913244406193144_0.jpg
hollywood/124067523143412_0,False,3,15,"no_parking,time_limited",crops/hollywood/124067523143412_0.jpg
hollywood/134030375380960_0,False,3,15,"no_stopping,time_limited",crops/hollywood/134030375380960_0.jpg
hollywood/1351527408548323_0,False,3,15,no_parking,crops/hollywood/1351527408548323_0.jpg
hollywood/137430618405665_0,False,3,15,"no_parking,time_limited",crops/hollywood/137430618405665_0.jpg
hollywood/1979970682169839_0,False,3,15,"no_parking,time_limited",crops/hollywood/1979970682169839_0.jpg
hollywood/219257636633425_0,False,3,15,"no_parking,time_limited",crops/hollywood/219257636633425_0.jpg
hollywood/2943347392655881_0,False,3,15,"no_parking,time_limited",crops/hollywood/2943347392655881_0.jpg
hollywood/390801655947611_0,False,3,15,"no_parking,time_limited",crops/hollywood/390801655947611_0.jpg
hollywood/4028726423888305_0,False,3,15,time_limited,crops/hollywood/4028726423888305_0.jpg
hollywood/4527996570560922_0,False,3,15,"no_stopping,time_limited",crops/hollywood/4527996570560922_0.jpg
hollywood/456889355379985_0,False,3,15,time_limited,crops/hollywood/456889355379985_0.jpg
hollywood/475927303526042_0,False,3,15,"no_stopping,time_limited",crops/hollywood/475927303526042_0.jpg
