idx,image_id,captured_at,year,lat,lon,compass_angle,is_pano,width,height,creator_username,sequence,source_url,license,path
0,484100479312809,2018-11-30T16:53:52.525000+00:00,2018,34.049795281225,-118.43636086706,72.127769470215,False,1920,1080,lvl5,d4imcmbg2m6cf7pxbtxdvb,https://www.mapillary.com/app/?pKey=484100479312809,CC BY-SA 4.0,images/484100479312809.jpg
1,478046963411619,2018-07-22T18:37:14.418000+00:00,2018,34.057787748133,-118.45350661268,326.80612182617,False,1920,1080,lvl5,n8bnebrdn0enifk0ofwuf2,https://www.mapillary.com/app/?pKey=478046963411619,CC BY-SA 4.0,images/478046963411619.jpg
2,182300727125432,2017-11-02T20:22:16.727000+00:00,2017,34.063681899524,-118.44325874043,89.03369140625,False,1920,1080,lvl5,jat5t5g7lennhlroe1cdlv,https://www.mapillary.com/app/?pKey=182300727125432,CC BY-SA 4.0,images/182300727125432.jpg
3,2968079503474255,2018-11-30T16:44:55.123000+00:00,2018,34.045037011614,-118.45315535533,62.511985778809,False,1920,1080,lvl5,tj4jyv4xdo70j4034lmf8u,https://www.mapillary.com/app/?pKey=2968079503474255,CC BY-SA 4.0,images/2968079503474255.jpg
4,1437451114858161,2026-06-06T16:02:27.406000+00:00,2026,34.0457990055,-118.450833534,70.920975885093,True,7680,3840,nthp_gis,IsGORq5Y8eQmaTlp3JdoCU,https://www.mapillary.com/app/?pKey=1437451114858161,CC BY-SA 4.0,images/1437451114858161.jpg
5,1092708477883940,2018-08-09T20:26:24.977000+00:00,2018,34.050046735616,-118.44911668383,163.12236022949,False,1920,1080,lvl5,jdujyd4j8cdueay04rqkxs,https://www.mapillary.com/app/?pKey=1092708477883940,CC BY-SA 4.0,images/1092708477883940.jpg
6,306361017617216,2016-09-02T15:45:11.865000+00:00,2016,34.057655,-118.447919,112.1884,False,4032,3024,cscrivens,zoTOlWXI2nIutOUYqdML6w,https://www.mapillary.com/app/?pKey=306361017617216,CC BY-SA 4.0,images/306361017617216.jpg
7,181190103888184,2018-12-05T22:36:39.408000+00:00,2018,34.056897835438,-118.45403583975,170.49165344238,False,1920,1080,lvl5,sd0ahqjrs6qp4vtzoag6ys,https://www.mapillary.com/app/?pKey=181190103888184,CC BY-SA 4.0,images/181190103888184.jpg
8,4255831397800564,2018-07-22T23:57:49.771000+00:00,2018,34.058411309458,-118.45404907704,328.7109375,False,1920,1080,lvl5,jx2e24fhr8ffnj4mm9l1nm,https://www.mapillary.com/app/?pKey=4255831397800564,CC BY-SA 4.0,images/4255831397800564.jpg
9,139589051479937,2016-10-21T23:46:54.481000+00:00,2016,34.060779209715,-118.43599712061,338.13929271698,False,4032,3024,jopparn,-QdDf6Hgn2w2ozlkaHPvXg,https://www.mapillary.com/app/?pKey=139589051479937,CC BY-SA 4.0,images/139589051479937.jpg
10,1938288072990917,2018-11-30T16:53:43.086000+00:00,2018,34.049505439755,-118.4372640973,65.567070007324,False,1920,1080,lvl5,riavrogvxztw2zy182sn9k,https://www.mapillary.com/app/?pKey=1938288072990917,CC BY-SA 4.0,images/1938288072990917.jpg
11,911819086217574,2017-07-18T00:00:21.801000+00:00,2017,34.058473479438,-118.45408245669,33.158557891846,False,3264,2448,aqua01,ZbvbFxeUI1eEljgoQPpodQ,https://www.mapillary.com/app/?pKey=911819086217574,CC BY-SA 4.0,images/911819086217574.jpg
12,472482064040534,2018-08-27T14:57:46.622000+00:00,2018,34.045219095326,-118.44545826276,145.25250244141,False,1920,1080,lvl5,2ngo4dot2o1c8lqkmu6ln6,https://www.mapillary.com/app/?pKey=472482064040534,CC BY-SA 4.0,images/472482064040534.jpg
13,1784407386301329,2026-05-29T20:21:43.201000+00:00,2026,34.05924,-118.4546783,352.0,False,4080,3060,newtonwong,AkzqnbvWiog2O9atjlehPQ,https://www.mapillary.com/app/?pKey=1784407386301329,CC BY-SA 4.0,images/1784407386301329.jpg
14,768272534048308,2016-11-04T22:18:13.998000+00:00,2016,34.04928646,-118.44867248,245.24203907794,False,1280,720,voschix,a5857t7hcyz5zoozcjx96u,https://www.mapillary.com/app/?pKey=768272534048308,CC BY-SA 4.0,images/768272534048308.jpg
15,1083472055508139,2016-08-30T21:26:15.941000+00:00,2016,34.054629,-118.454198,247.7899,False,4032,3024,cscrivens,66PBcAIBUbQnWvlOsJ_HqQ,https://www.mapillary.com/app/?pKey=1083472055508139,CC BY-SA 4.0,images/1083472055508139.jpg
16,1127710082737970,2026-02-24T12:11:00.072000+00:00,2026,34.052605013333,-118.4499349,180.0,False,3840,2160,aHS,j8OW5zouQ3ZriS1kYaqseJ,https://www.mapillary.com/app/?pKey=1127710082737970,CC BY-SA 4.0,images/1127710082737970.jpg
17,4598105766884646,2018-07-22T18:36:42.050000+00:00,2018,34.051846036613,-118.44921212664,344.14447021484,False,1920,1080,lvl5,n8bnebrdn0enifk0ofwuf2,https://www.mapillary.com/app/?pKey=4598105766884646,CC BY-SA 4.0,images/4598105766884646.jpg
18,468454604263100,2019-04-15T00:00:03.408000+00:00,2019,34.050115824733,-118.44869380544,339.2578125,False,1920,1080,lvl5,7yrkw9dh7u5m5heaxk9lk1,https://www.mapillary.com/app/?pKey=468454604263100,CC BY-SA 4.0,images/468454604263100.jpg
19,1398254224462546,2023-12-12T20:23:15.640000+00:00,2023,34.062601266675,-118.44493361665,19.497268240391,False,4032,3024,filipb,NlfdLXGVBcY3QjkFbwD8vp,https://www.mapillary.com/app/?pKey=1398254224462546,CC BY-SA 4.0,images/1398254224462546.jpg
20,459593555266328,2016-08-30T21:28:32.327000+00:00,2016,34.054501,-118.454966,147.477,False,4032,3024,cscrivens,z4AzlIuZaEjdtSqEymeO5Q,https://www.mapillary.com/app/?pKey=459593555266328,CC BY-SA 4.0,images/459593555266328.jpg
21,535967041109353,2018-11-05T19:55:15.669000+00:00,2018,34.051402613745,-118.44920571205,345.23110961914,False,1920,1080,lvl5,rg1ir1gaold84mpy5twe4v,https://www.mapillary.com/app/?pKey=535967041109353,CC BY-SA 4.0,images/535967041109353.jpg
22,503905840803543,2018-11-30T16:52:45.568000+00:00,2018,34.048916222419,-118.43923324276,71.273109436035,False,1920,1080,lvl5,n39toepjptqazcf1szyz5n,https://www.mapillary.com/app/?pKey=503905840803543,CC BY-SA 4.0,images/503905840803543.jpg
23,166646931920282,2015-01-25T18:25:31+00:00,2015,34.060828,-118.436236,246.0173,False,3264,2448,gyllen,ICDpkx_hONWF0tcJbATnRQ,https://www.mapillary.com/app/?pKey=166646931920282,CC BY-SA 4.0,images/166646931920282.jpg
24,4269476093090388,2018-11-30T16:53:44.155000+00:00,2018,34.049531377364,-118.43720371627,64.812278747559,False,1920,1080,lvl5,v8sd2y8zi4mcawgeg67401,https://www.mapillary.com/app/?pKey=4269476093090388,CC BY-SA 4.0,images/4269476093090388.jpg
25,487045769292427,2015-09-30T18:25:17.208000+00:00,2015,34.052652,-118.449874,177.6673,False,3264,2448,canadarunner,uzrjr6axha04rbmvyeudjw,https://www.mapillary.com/app/?pKey=487045769292427,CC BY-SA 4.0,images/487045769292427.jpg
26,164856222220696,2017-07-22T22:14:41.461000+00:00,2017,34.052216866192,-118.44948454672,23.082021713257,False,160,120,aqua01,9AcuGJEFfEcSaqvMcMgDIw,https://www.mapillary.com/app/?pKey=164856222220696,CC BY-SA 4.0,images/164856222220696.jpg
27,538323103967668,2018-11-30T16:45:01.139000+00:00,2018,34.045260346579,-118.45262364111,63.923595428467,False,1920,1080,lvl5,uqvkq884jeoo7imw8jglkj,https://www.mapillary.com/app/?pKey=538323103967668,CC BY-SA 4.0,images/538323103967668.jpg
28,909527819607981,2018-07-30T22:08:02.300000+00:00,2018,34.059264880106,-118.45457721215,318.1640625,False,1920,1080,lvl5,kkleru9jei9i0vmeth9jmc,https://www.mapillary.com/app/?pKey=909527819607981,CC BY-SA 4.0,images/909527819607981.jpg
29,514430159595581,2019-03-18T01:44:38.947000+00:00,2019,34.057231705897,-118.45318905458,325.86163330078,False,1920,1080,lvl5,z9qzqethcofpcdjumsk8q6,https://www.mapillary.com/app/?pKey=514430159595581,CC BY-SA 4.0,images/514430159595581.jpg
